iter	Passed	Remaining
0	1	168
1	3	166
2	5	170
3	6	152
4	7	147
5	8	140
6	10	136
7	12	138
8	13	140
9	15	139
10	16	135
11	18	136
12	20	136
13	21	132
14	23	133
15	24	130
16	26	127
17	27	123
18	28	122
19	30	120
20	31	118
21	33	117
22	34	114
23	37	117
24	38	116
25	40	113
26	41	111
27	42	108
28	43	106
29	44	104
30	46	102
31	49	104
32	51	103
33	52	101
34	53	99
35	54	97
36	56	95
37	57	94
38	59	92
39	60	90
40	61	88
41	61	85
42	65	86
43	66	85
44	68	84
45	70	83
46	74	83
47	76	82
48	79	82
49	82	82
50	84	80
51	85	78
52	86	76
53	87	74
54	88	72
55	89	70
56	91	68
57	92	66
58	98	68
59	99	66
60	101	64
61	102	62
62	103	60
63	104	58
64	105	56
65	106	55
66	107	53
67	112	52
68	114	51
69	115	49
70	116	47
71	117	45
72	118	43
73	119	41
74	120	40
75	122	38
76	126	37
77	128	36
78	129	34
79	130	32
80	132	30
81	133	29
82	134	27
83	135	25
84	136	24
85	137	22
86	140	21
87	142	19
88	143	17
89	145	16
90	146	14
91	147	12
92	148	11
93	149	9
94	151	7
95	152	6
96	153	4
97	155	3
98	156	1
99	157	0
