iter	Passed	Remaining
0	119	119689
1	121	60592
2	125	41662
3	130	32586
4	132	26363
5	134	22310
6	141	20071
7	143	17833
8	145	16001
9	146	14524
10	148	13310
11	150	12368
12	157	11985
13	159	11230
14	161	10615
15	163	10028
16	164	9507
17	165	9041
18	172	8904
19	175	8596
20	176	8248
21	178	7928
22	179	7635
23	182	7435
24	187	7295
25	189	7091
26	190	6868
27	192	6669
28	194	6528
29	202	6551
30	204	6382
31	205	6219
32	207	6084
33	208	5935
34	213	5889
35	216	5795
36	220	5726
37	221	5611
38	223	5496
39	224	5386
40	235	5497
41	236	5396
42	238	5313
43	240	5216
44	245	5218
45	247	5138
46	249	5056
47	250	4975
48	252	4898
49	253	4821
50	257	4798
51	261	4767
52	262	4698
53	264	4630
54	265	4565
55	267	4501
56	269	4451
57	275	4473
58	276	4416
59	278	4360
60	279	4303
61	280	4247
62	281	4192
63	283	4147
64	287	4132
65	289	4093
66	290	4049
67	292	4006
68	293	3964
69	295	3919
70	297	3887
71	298	3844
72	299	3802
73	303	3797
74	306	3777
75	307	3741
76	309	3704
77	310	3668
78	311	3633
79	312	3597
80	316	3595
81	321	3595
82	321	3556
83	323	3526
84	324	3494
85	325	3464
86	328	3443
87	329	3414
88	331	3393
89	333	3370
90	334	3345
91	336	3320
92	337	3294
93	339	3273
94	342	3258
95	349	3292
96	350	3267
97	352	3248
98	354	3225
99	355	3202
100	357	3178
101	360	3171
102	362	3152
103	363	3134
104	365	3111
105	366	3088
106	367	3065
107	368	3042
108	369	3019
109	370	2997
110	371	2975
111	372	2954
112	375	2948
113	377	2932
114	378	2915
115	379	2895
116	380	2873
117	381	2854
118	383	2842
119	385	2824
120	386	2808
121	387	2791
122	390	2782
123	391	2768
124	393	2752
125	394	2735
126	395	2717
127	396	2700
128	397	2684
129	398	2667
130	399	2651
131	400	2635
132	402	2624
133	404	2611
134	405	2596
135	406	2580
136	407	2567
137	408	2552
138	409	2537
139	410	2522
140	412	2510
141	413	2498
142	416	2493
143	418	2485
144	419	2471
145	420	2459
146	421	2446
147	422	2432
148	423	2419
149	424	2406
150	425	2394
151	426	2382
152	428	2369
153	429	2356
154	431	2352
155	433	2343
156	434	2334
157	435	2323
158	437	2312
159	438	2301
160	439	2288
161	440	2277
162	441	2265
163	442	2254
164	443	2244
165	445	2239
166	447	2231
167	448	2221
168	449	2210
169	450	2200
170	451	2190
171	452	2180
172	453	2170
173	455	2160
174	456	2150
175	457	2140
176	458	2130
177	460	2127
178	462	2120
179	463	2111
180	464	2101
181	465	2092
182	466	2082
183	467	2073
184	468	2064
185	469	2055
186	470	2046
187	471	2038
188	473	2030
189	476	2029
190	477	2023
191	479	2017
192	480	2010
193	482	2002
194	483	1995
195	484	1988
196	486	1982
197	487	1976
198	491	1979
199	493	1973
200	494	1966
201	497	1964
202	499	1960
203	501	1957
204	504	1954
205	506	1950
206	507	1944
207	509	1938
208	510	1932
209	512	1926
210	513	1920
211	515	1914
212	516	1908
213	518	1905
214	520	1901
215	523	1899
216	524	1893
217	526	1887
218	527	1881
219	528	1875
220	531	1874
221	534	1873
222	537	1872
223	538	1866
224	540	1860
225	542	1856
226	543	1850
